timestamp__to_date,referrer_type,source_medium,campaign_name,campaign_content,session_entry_url,visitor_returning,location_country_name,operating_system,device_type,location_city_name,events,visitors,sessions,page_views,ecommerce_conversions,cart_additions,ecommerce_abandoned_carts,consents_none,consents_full
2021-01-22,"[3, 'Website']",bing / direct,your first loan,,https://banking.demopiwikpro.com/landing-page-loans/,"[1, 'Returning']","['JP', 'Japan']","['KBT', 'Kubuntu']","[10, 'Phablet']","[1850147, 'Tokyo']",60,1,1,1,5,8,0,0,0
2021-01-04,"[7, 'Social']",,,,https://banking.demopiwikpro.com/landing-page/,"[1, 'Returning']","['SG', 'Singapore']","['WIN', 'Windows']","[0, 'Desktop']","[1880252, 'Singapore']",51,1,1,16,0,0,0,0,0
2021-02-02,"[3, 'Website']",www.forbes.com / referral,,,https://banking.demopiwikpro.com/landing-page-loans/,"[1, 'Returning']","[None, '']","['IOS', 'iOS']","[1, 'Smartphone']","[0, '']",49,1,1,10,0,0,0,0,0
2021-01-05,"[7, 'Social']",,,,https://banking.demopiwikpro.com/landing-page/,"[1, 'Returning']","['US', 'United States']","['COS', 'Chrome OS']","[0, 'Desktop']","[0, '']",48,1,1,18,0,0,0,1,0
2021-02-08,"[6, 'Campaign']",adwords / cpc,car loan,,https://banking.demopiwikpro.com/landing-page/,"[1, 'Returning']","['US', 'United States']","['AND', 'Android']","[1, 'Smartphone']","[0, '']",48,1,1,6,0,0,0,0,0
2021-02-03,"[7, 'Social']",,,,https://banking.demopiwikpro.com/landing-page/,"[1, 'Returning']","['EG', 'Egypt']","['WPH', 'Windows Phone']","[1, 'Smartphone']","[0, '']",47,1,1,20,0,0,0,0,1
2021-03-18,"[3, 'Website']",direct / direct,,,https://banking.demopiwikpro.com/,"[1, 'Returning']","['US', 'United States']","['FED', 'Fedora']","[0, 'Desktop']","[0, '']",47,1,1,0,3,7,1,0,0
2021-03-30,"[7, 'Social']",,,,https://banking.demopiwikpro.com/loans/,"[1, 'Returning']","['US', 'United States']","['AND', 'Android']","[2, 'Tablet']","[0, '']",47,1,1,6,0,0,0,0,0
2021-01-29,"[7, 'Social']",,,,https://banking.demopiwikpro.com/,"[1, 'Returning']","['MX', 'Mexico']","['WPH', 'Windows Phone']","[1, 'Smartphone']","[3522507, 'Oaxaca City']",45,1,1,14,0,0,0,1,0
2021-01-08,"[3, 'Website']",www.forbes.com / referral,,,https://banking.demopiwikpro.com/loans/,"[1, 'Returning']","[None, '']","['AND', 'Android']","[1, 'Smartphone']","[0, '']",44,1,1,12,0,0,0,1,0
2021-01-22,"[1, 'Direct entry']",direct / direct,,,https://banking.demopiwikpro.com/ebanking/newtransfer/,"[1, 'Returning']","['TW', 'Taiwan']","['WIN', 'Windows']","[0, 'Desktop']","[1668341, 'Taipei']",44,1,1,9,0,0,0,0,1
2021-02-03,"[2, 'Search engine']",bing / organic,,,https://banking.demopiwikpro.com/landing-page/,"[1, 'Returning']","['US', 'United States']","['UBT', 'Ubuntu']","[0, 'Desktop']","[0, '']",44,1,1,7,0,0,0,0,0
2021-02-03,"[7, 'Social']",,,,https://banking.demopiwikpro.com/insurances/,"[1, 'Returning']","['US', 'United States']","['IOS', 'iOS']","[1, 'Smartphone']","[4744870, 'Ashburn']",44,1,1,16,0,0,0,0,1
2021-02-06,"[2, 'Search engine']",bing / organic,,,https://banking.demopiwikpro.com/landing-page/,"[1, 'Returning']","['US', 'United States']","['IOS', 'iOS']","[1, 'Smartphone']","[0, '']",44,1,1,4,0,0,0,0,0
2021-03-10,"[1, 'Direct entry']",direct / organic,,,https://banking.demopiwikpro.com/,"[1, 'Returning']","['US', 'United States']","['AND', 'Android']","[12, 'Wearable']","[5368361, 'Los Angeles']",44,1,1,4,3,7,1,0,0
2021-01-06,"[2, 'Search engine']",direct / ppc,,,https://banking.demopiwikpro.com/landing-page/,"[1, 'Returning']","['US', 'United States']","['IPA', 'iPadOS']","[4, 'Console']","[4177887, 'West Palm Beach']",43,1,1,1,2,10,0,0,0
2021-01-17,"[6, 'Campaign']",credit_card / banner,credit card promotion,,https://banking.demopiwikpro.com/loans/,"[1, 'Returning']","['TW', 'Taiwan']","['WPH', 'Windows Phone']","[1, 'Smartphone']","[0, '']",43,1,1,10,0,0,0,0,0
2021-02-26,"[6, 'Campaign']",banner / cpc,the best saving account,,https://banking.demopiwikpro.com/loans/,"[1, 'Returning']","['US', 'United States']","['IOS', 'iOS']","[1, 'Smartphone']","[0, '']",43,1,1,16,0,0,0,1,0
2021-01-04,"[1, 'Direct entry']",direct / direct,,,https://banking.demopiwikpro.com/landing-page/?_id=5e876c23ee5bb800,"[1, 'Returning']","['NL', 'Netherlands']","['AND', 'Android']","[1, 'Smartphone']","[0, '']",42,1,1,12,0,0,0,0,1
2021-01-10,"[2, 'Search engine']",google / organic,,,https://banking.demopiwikpro.com/blog/,"[1, 'Returning']","['US', 'United States']","['AND', 'Android']","[5, 'TV']","[8766331, 'Egg Harbor']",42,1,1,18,0,0,0,0,0
2021-01-11,"[6, 'Campaign']",banner / cpc,the best saving account,,https://banking.demopiwikpro.com/landing-page/,"[1, 'Returning']","['US', 'United States']","['IOS', 'iOS']","[1, 'Smartphone']","[0, '']",42,1,1,12,0,0,0,0,0
2021-01-12,"[2, 'Search engine']",google / organic,,,https://banking.demopiwikpro.com/,"[1, 'Returning']","['US', 'United States']","['AND', 'Android']","[2, 'Tablet']","[0, '']",42,1,1,3,0,0,0,1,0
2021-01-18,"[7, 'Social']",,,,https://banking.demopiwikpro.com/insurances/,"[1, 'Returning']","['US', 'United States']","['ATV', 'tvOS']","[5, 'TV']","[5714964, 'Boardman']",42,1,1,12,0,0,0,1,0
2021-02-03,"[7, 'Social']",,,,https://banking.demopiwikpro.com/landing-page-loans/,"[1, 'Returning']","['AU', 'Australia']","['WPH', 'Windows Phone']","[4, 'Console']","[0, '']",42,1,1,15,0,0,0,1,0
2021-03-19,"[6, 'Campaign']",banner / cpc,the best saving account,,https://banking.demopiwikpro.com/insurances/,"[1, 'Returning']","['US', 'United States']","['AND', 'Android']","[1, 'Smartphone']","[0, '']",42,1,1,29,0,0,0,0,0
2021-01-27,"[6, 'Campaign']",banner / cpc,the best saving account,,https://banking.demopiwikpro.com/landing-page-loans/,"[1, 'Returning']","['US', 'United States']","['WIN', 'Windows']","[0, 'Desktop']","[0, '']",41,1,1,5,0,0,0,0,0
2021-01-31,"[7, 'Social']",direct / referral,,,https://banking.demopiwikpro.com/blog/,"[1, 'Returning']","['MA', 'Morocco']","['FED', 'Fedora']","[12, 'Wearable']","[2553604, 'Casablanca']",41,1,1,4,2,5,0,0,0
2021-02-10,"[3, 'Website']",www.economist.com / referral,,,https://banking.demopiwikpro.com/loans/,"[1, 'Returning']","['MX', 'Mexico']","['AND', 'Android']","[1, 'Smartphone']","[3516355, 'Tampico']",41,1,1,15,0,0,0,0,0
2021-02-27,"[6, 'Campaign']",banner / cpc,the best saving account,,https://banking.demopiwikpro.com/blog/,"[1, 'Returning']","['JP', 'Japan']","['MAC', 'Mac']","[0, 'Desktop']","[1854383, 'Okayama']",41,1,1,8,0,0,0,0,0
2021-02-28,"[7, 'Social']",,,,https://banking.demopiwikpro.com/blog/,"[1, 'Returning']","['CN', 'China']","['WPH', 'Windows Phone']","[1, 'Smartphone']","[0, '']",41,1,1,12,0,0,0,1,0
2021-03-03,"[3, 'Website']",www.forbes.com / referral,,,https://banking.demopiwikpro.com/landing-page/,"[1, 'Returning']","['SG', 'Singapore']","['MAC', 'Mac']","[0, 'Desktop']","[0, '']",41,1,1,3,0,0,0,0,0
2021-03-08,"[7, 'Social']",,,,https://banking.demopiwikpro.com/loans/,"[1, 'Returning']","[None, '']","['COS', 'Chrome OS']","[0, 'Desktop']","[0, '']",41,1,1,16,0,0,0,0,0
2021-01-22,"[3, 'Website']",www.economist.com / referral,,,https://banking.demopiwikpro.com/,"[1, 'Returning']","['US', 'United States']","['MAC', 'Mac']","[0, 'Desktop']","[0, '']",40,1,1,22,0,0,0,0,0
2021-02-11,"[6, 'Campaign']",video / cpv,your first loan,,https://banking.demopiwikpro.com/landing-page/,"[1, 'Returning']","['US', 'United States']","['AND', 'Android']","[1, 'Smartphone']","[0, '']",40,1,1,24,0,0,0,1,0
2021-02-13,"[1, 'Direct entry']",direct / direct,,,https://banking.demopiwikpro.com/,"[1, 'Returning']","['DE', 'Germany']","['AND', 'Android']","[5, 'TV']","[0, '']",40,1,1,17,0,0,0,0,0
2021-02-16,"[2, 'Search engine']",google / organic,,,https://banking.demopiwikpro.com/credit-cards/,"[1, 'Returning']","['CN', 'China']","['AND', 'Android']","[2, 'Tablet']","[2034048, 'Xiabancheng']",40,1,1,12,0,0,0,0,1
2021-02-16,"[7, 'Social']",,,,https://banking.demopiwikpro.com/landing-page-loans/,"[1, 'Returning']","['CO', 'Colombia']","['AND', 'Android']","[2, 'Tablet']","[3687925, 'Santiago de Cali']",40,1,1,3,0,0,0,0,1
2021-02-23,"[3, 'Website']",www.economist.com / referral,,,https://banking.demopiwikpro.com/insurances/,"[1, 'Returning']","['CA', 'Canada']","['AND', 'Android']","[5, 'TV']","[0, '']",40,1,1,13,0,0,0,0,0
2021-02-25,"[3, 'Website']",www.wsj.com / referral,,,https://banking.demopiwikpro.com/landing-page/,"[1, 'Returning']","['US', 'United States']","['WIN', 'Windows']","[0, 'Desktop']","[0, '']",40,1,1,8,0,0,0,0,1
2021-03-14,"[3, 'Website']",www.economist.com / referral,,,https://banking.demopiwikpro.com/loans/,"[1, 'Returning']","['CH', 'Switzerland']","['AND', 'Android']","[2, 'Tablet']","[0, '']",40,1,1,6,0,0,0,0,0
2021-03-21,"[3, 'Website']",www.forbes.com / referral,,,https://banking.demopiwikpro.com/loans/,"[1, 'Returning']","[None, '']","['NDS', 'Nintendo Mobile']","[4, 'Console']","[0, '']",40,1,1,6,0,0,0,0,0
2021-03-29,"[7, 'Social']",,,,https://banking.demopiwikpro.com/landing-page-loans/,"[1, 'Returning']","['US', 'United States']","['AND', 'Android']","[1, 'Smartphone']","[0, '']",40,1,1,6,0,0,0,1,0
2021-01-01,"[7, 'Social']",,,,https://banking.demopiwikpro.com/blog/,"[1, 'Returning']","['AU', 'Australia']","['AND', 'Android']","[1, 'Smartphone']","[0, '']",39,1,1,9,0,0,0,0,1
2021-01-07,"[7, 'Social']",,,,https://banking.demopiwikpro.com/blog/,"[1, 'Returning']","['US', 'United States']","['AND', 'Android']","[2, 'Tablet']","[0, '']",39,1,1,13,0,0,0,0,1
2021-01-12,"[6, 'Campaign']",adwords / cpc,car loan,,https://banking.demopiwikpro.com/,"[1, 'Returning']","['KR', 'South Korea']","['WPH', 'Windows Phone']","[1, 'Smartphone']","[0, '']",39,1,1,18,0,0,0,0,0
2021-01-13,"[6, 'Campaign']",credit_card / banner,credit card promotion,,https://banking.demopiwikpro.com/loans/,"[1, 'Returning']","['NL', 'Netherlands']","['LIN', 'GNU/Linux']","[2, 'Tablet']","[2759794, 'Amsterdam']",39,1,1,9,0,0,0,0,0
