session_id,visitor_id,timestamp,visitor_session_number,visitor_returning,source_medium,campaign_name,session_goals,session_total_page_views,session_total_events,visitor_days_since_last_session,visitor_days_since_first_session,location_country_name
7396443272181760,2f29412b582fa200,2021-02-07T22:09:27,24,"[1, 'Returning']",bing / organic,,[],0,8,5.0,11,"['JP', 'Japan']"
15250809629146723,5957676d3b753f69,2021-02-18T07:19:04,1,"[1, 'Returning']",video / cpv,your first loan,[],1,3,13.0,12,"['DE', 'Germany']"
27450806533608027,186af40e19b1cfdf,2021-02-27T00:55:45,20,"[1, 'Returning']",www.economist.com / referral,,"[1, 2]",7,23,6.0,17,"['CA', 'Canada']"
41346057691525410,67e89542fb518400,2021-02-06T07:47:28,24,"[1, 'Returning']",bing / organic,,[],1,4,6.0,27,"['CN', 'China']"
73564250923417165,50e5ae7a24bb9800,2021-03-11T06:50:06,13,"[1, 'Returning']",www.economist.com / referral,,[],2,6,1.0,24,"['US', 'United States']"
79093717217528648,69e99a6805c60000,2021-01-13T09:06:54,8,"[1, 'Returning']",credit_card / banner,credit card promotion,"[2, 9, 10]",9,39,10.0,29,"['NL', 'Netherlands']"
91173335455369092,73309be8f92efc00,2021-03-29T09:54:16,11,"[1, 'Returning']",banner / cpc,the best saving account,[],16,21,20.0,5,"[None, '']"
120074947906865578,5cd3556257b7c400,2021-03-20T08:29:53,28,"[1, 'Returning']",www.economist.com / referral,,[11],5,12,3.0,16,"['US', 'United States']"
125530100563449423,4123a76b6ad0f400,2021-02-26T18:55:14,26,"[1, 'Returning']",video / cpv,your first loan,[],1,8,6.0,14,"['KR', 'South Korea']"
127090528502556672,15170ad4a10c9f00,2021-02-07T02:52:13,14,"[1, 'Returning']",google / direct,your first loan,[],0,2,2.0,22,"['US', 'United States']"
130897613778692100,1a503c9d76692800,2021-02-10T08:53:07,1,"[1, 'Returning']",adwords / cpc,car loan,[],1,4,7.0,9,"['US', 'United States']"
145199644661411840,20b8e9fd52319000,2021-02-27T11:34:53,25,"[1, 'Returning']",direct / organic,your first loan,[],3,12,25.0,1,"['US', 'United States']"
151472282592000130,45937bffa527a000,2021-03-07T04:12:22,20,"[1, 'Returning']",credit_card / banner,credit card promotion,[4],7,21,25.0,8,"[None, '']"
155451798084638690,75ed3904eb78b000,2021-03-16T11:24:07,9,"[1, 'Returning']",bing / organic,,[],1,4,25.0,7,"['US', 'United States']"
171221985601474560,1f70a79beaffd06d,2021-02-11T06:48:38,1,"[1, 'Returning']",google / organic,,[],1,5,10.0,13,"['CN', 'China']"
185597694176425868,4dc600f287b01800,2021-01-18T13:09:57,9,"[1, 'Returning']",www.forbes.com / referral,,[],7,10,1.0,1,"['GB', 'United Kingdom']"
185695916355852288,3f2c9088c07cc600,2021-03-11T03:43:55,8,"[1, 'Returning']",google / cpc,,[],2,12,19.0,19,"['CN', 'China']"
187292192621341808,12033cf46e630900,2021-01-30T04:33:57,6,"[1, 'Returning']",,,[],1,8,4.0,15,"['US', 'United States']"
190223295636258816,6eb3f9ffe7699c00,2021-02-02T04:42:37,12,"[1, 'Returning']",google / ppc,your first loan,[],0,10,6.0,19,"['CN', 'China']"
192011381513740514,63074d9541580400,2021-01-25T05:48:00,1,"[1, 'Returning']",direct / direct,,[],1,3,12.0,27,"[None, '']"
200158126803340471,12192eddf0d33400,2021-01-25T13:16:32,2,"[1, 'Returning']",www.forbes.com / referral,,[],1,4,1.0,20,"[None, '']"
215731431331086336,4031bae72f594c00,2021-03-16T10:13:35,7,"[1, 'Returning']",google / ppc,,[],0,4,19.0,5,"['US', 'United States']"
228450384655360000,31a97dd0e96d6600,2021-02-10T11:00:25,6,"[1, 'Returning']",bing / organic,,[],0,17,10.0,8,"[None, '']"
231046362178035792,33fb952c7e67b600,2021-02-27T14:51:53,10,"[1, 'Returning']",adwords / cpc,car loan,[],15,19,21.0,21,"['FR', 'France']"
234109092535480320,825f831e43d3a61d,2021-01-31T23:33:56,17,"[1, 'Returning']",google / organic,,[],0,7,9.0,9,"['TR', 'Turkey']"
237231298466747281,560ff01a499dd000,2021-03-21T19:54:15,17,"[1, 'Returning']",credit_card / banner,credit card promotion,[],1,4,9.0,28,"['CN', 'China']"
243961733026057874,2cf8d683cab9a200,2021-01-28T11:10:57,30,"[1, 'Returning']",www.wsj.com / referral,,[],3,19,24.0,8,"[None, '']"
246515749453248512,9fe1caa75d78b404,2021-03-27T18:48:23,12,"[1, 'Returning']",direct / direct,the best saving account,[],0,11,5.0,5,"['JP', 'Japan']"
250070835501221316,546367103b931000,2021-01-13T03:05:52,5,"[1, 'Returning']",www.economist.com / referral,,"[11, 12]",10,20,25.0,16,"['JP', 'Japan']"
254883485208170496,5a677a93366afc8f,2021-03-08T15:06:04,19,"[1, 'Returning']",google / ppc,,[],0,7,14.0,27,"[None, '']"
